ID,Funder_Name,Program_Name,Funder_Type,CFDA_Number,Award_Min,Award_Max,Project_Period_Years,Deadline_Typical,Match_Required,Eligibility,Purpose,Priority_Area,Priority_Level,Contact_Email,Website,Relationship_Status,Notes
F011,U.S. Department of Education,GAANN Fellowships,Federal,84.200,100000,500000,3,Varies,No,IHEs with graduate programs,Support graduate fellowships in critical fields,Student Success,FUTURE,,https://www2.ed.gov/programs/gaann/,Cold,Requires graduate programs
F012,National Science Foundation,HBCU-UP Targeted Infusion Projects,Federal,NSF 24-586,100000,500000,3,Fall,No,Accredited HBCUs,Improve specific STEM courses or programs,STEM Education,HIGHEST,,https://www.nsf.gov/funding/pgm_summ.jsp?pims_id=5481,Cold,Submit in Year 1; entry-level HBCU-UP track
F013,National Science Foundation,HBCU-UP Implementation Projects,Federal,NSF 24-586,500000,2500000,5,Fall,No,Accredited HBCUs,Comprehensive institutional STEM transformation,STEM Education,HIGHEST,,https://www.nsf.gov/funding/pgm_summ.jsp?pims_id=5481,Cold,Submit in Year 3 after TIP success
F014,National Science Foundation,HBCU-UP Research Centers,Federal,NSF 24-586,2000000,10000000,5,Fall,No,HBCUs (consortium),Multi-institutional STEM research centers,STEM Education,FUTURE,,https://www.nsf.gov/funding/pgm_summ.jsp?pims_id=5481,Cold,Long-term goal; requires research capacity
F015,National Science Foundation,Louis Stokes Alliances (LSAMP),Federal,,400000,750000,5,Varies,No,LSAMP alliance members,Increase STEM baccalaureate degrees for underrepresented students,STEM Education,HIGH,,https://www.nsf.gov/funding/pgm_summ.jsp?pims_id=13646,Cold,Seek to join Texas LSAMP alliance
F016,National Science Foundation,IUSE: EHR,Federal,,50000,3000000,3-5,Varies,No,All IHEs,Enhance STEM teaching and learning in undergraduate education,STEM Education,MEDIUM,,https://www.nsf.gov/funding/pgm_summ.jsp?pims_id=505082,Cold,Competitive but valuable for STEM innovation
F017,National Science Foundation,Robert Noyce Teacher Scholarship,Federal,,75000,3000000,5,August,No,IHEs with STEM teacher prep,STEM teacher preparation and scholarships,Teacher Preparation,MEDIUM-HIGH,,https://www.nsf.gov/funding/pgm_summ.jsp?pims_id=5733,Cold,Aligns with education programs
F018,National Science Foundation,S-STEM Scholarships,Federal,,100000,2500000,5,March,No,All IHEs,Financial support and academic enhancement for STEM students,STEM Education,HIGH,,https://www.nsf.gov/funding/pgm_summ.jsp?pims_id=5257,Cold,Direct student scholarship support
F019,National Institutes of Health,RIMI (Research Infrastructure),Federal,,500000,1500000,5,Varies,No,HBCUs with limited NIH history,Build research capacity at minority-serving institutions,STEM Education,MEDIUM,,https://www.nigms.nih.gov/,Cold,Requires research infrastructure development
F020,National Institutes of Health,REAP (R15),Federal,,50000,300000,3,Varies,No,Educational institutions,Support small-scale research projects,STEM Education,MEDIUM,,https://grants.nih.gov/grants/funding/r15.htm,Cold,Good for individual faculty research
F021,National Institutes of Health,MARC U-STAR,Federal,,100000,500000,5,Varies,No,IHEs with research programs,Undergraduate research training in biomedical sciences,STEM Education,MEDIUM,,https://www.nigms.nih.gov/training/marc,Cold,Pipeline program for graduate school
F022,USDA NIFA,1890 Capacity Building Grants,Federal,,150000,500000,3,Varies,No,1890 Land-Grants and partners,"Strengthen teaching, research, and extension",STEM Education,HIGH,,https://www.nifa.usda.gov/grants/funding-opportunities,Cold,Partner with Prairie View A&M
F023,USDA NIFA,1890 National Scholars Program,Federal,,20000,50000,4,Varies,No,Students at eligible institutions,Full scholarships for agriculture students,Student Success,MEDIUM,,https://www.nifa.usda.gov/grants/funding-opportunities,Cold,Student recruitment tool
F024,USDA NIFA,SARE Grants,Federal,,15000,250000,3,Varies,No,All eligible applicants,Sustainable agriculture education and research,STEM Education,MEDIUM,,https://www.sare.org/grants/,Cold,Rural East Texas agricultural focus
F025,USDA Rural Development,Community Facilities Grants,Federal,,25000,500000,Varies,Rolling,Varies,Rural communities under 20000,Develop essential community facilities,Institutional Capacity,MEDIUM,,https://www.rd.usda.gov/programs-services/community-facilities,Cold,Marshall qualifies as rural
F026,USDA Rural Development,Distance Learning & Telemedicine,Federal,,50000,1000000,3,Annual,Yes,Rural communities,Technology infrastructure for rural education,Institutional Capacity,MEDIUM,,https://www.rd.usda.gov/programs-services/distance-learning-telemedicine-grants,Cold,Technology enhancement opportunity
F027,AmeriCorps,State and National Grants,Federal,,200000,1000000,3,October,No,Nonprofits and IHEs,Support national service programs,Community Health,HIGH,,https://americorps.gov/funding-opportunity,Cold,Apply through OneStar Foundation (Texas)
F028,AmeriCorps,VISTA Program,Federal,,0,0,1,Rolling,No,Nonprofits and IHEs,Anti-poverty capacity building through volunteers,Community Health,MEDIUM,,https://americorps.gov/serve/fit-finder/americorps-vista,Cold,Low-cost capacity addition; no direct funding
F029,SAMHSA,Campus Suicide Prevention,Federal,,102000,306000,3,Annual,No,IHEs,Develop campus mental health services,Community Health,MEDIUM,,https://www.samhsa.gov/grants,Cold,Student wellness focus
F030,HRSA,Health Careers Opportunity Program,Federal,,400000,800000,3,Annual,No,IHEs with health programs,Health professions pipeline for underrepresented students,Community Health,MEDIUM,,https://www.hrsa.gov/grants/find-funding,Cold,Pre-health program support
F031,National Endowment for Humanities,Humanities Connections,Federal,,25000,150000,3,Annual,No,All IHEs,Integrate humanities into undergraduate curricula,Institutional Capacity,MEDIUM,,https://www.neh.gov/grants,Cold,Liberal arts enhancement
F032,National Endowment for Arts,Grants for Arts Projects,Federal,,10000,100000,1-2,Annual,Yes,Nonprofits and IHEs,Support arts programming and education,Institutional Capacity,LOW-MEDIUM,,https://www.arts.gov/grants,Cold,Arts programming support
FN001,Lilly Endowment Inc.,Various Programs,Foundation,,100000,2000000,Varies,By invitation,Varies,"Religious, educational institutions","Religion, education, community development",Institutional Capacity,HIGHEST,,https://lillyendowment.org/,Cold,Methodist connection + HBCU focus; LOI accepted
FN002,Andrew W. Mellon Foundation,Higher Learning Program,Foundation,,100000,5000000,Varies,By invitation,No,HBCUs and other IHEs,"Higher education, arts, humanities strengthening",Institutional Capacity,HIGH,,https://mellon.org/,Cold,Strong HBCU commitment; primarily invitation-only
FN003,The Kresge Foundation,Education Program,Foundation,,100000,1000000,Varies,LOI,No,"HBCUs, MSIs, educational institutions","Education, health, human services capacity",Institutional Capacity,HIGH,,https://kresge.org/,Cold,Significant HBCU investment history
FN004,Michael & Susan Dell Foundation,Education Programs,Foundation,,50000,500000,Varies,Online,No,Texas educational institutions,"Higher education completion, student support",Student Success,HIGH,,https://www.dell.org/,Cold,Texas-based with education priority
FN005,The Moody Foundation,Education Grants,Foundation,,25000,1000000,Varies,Online,Varies,Texas nonprofits and institutions,"Education, health, social services",Institutional Capacity,HIGHEST,,https://moody.org/,Cold,Texas-only focus; education priority
FN006,Houston Endowment Inc.,Education Program,Foundation,,50000,1000000,Varies,LOI,No,Greater Houston and Texas organizations,"Education, arts, environment, health",Institutional Capacity,HIGH,,https://www.houstonendowment.org/,Cold,Texas education focus
FN007,Lumina Foundation,Higher Education,Foundation,,100000,2000000,Varies,By invitation,No,IHEs focused on completion,Higher education attainment and completion,Student Success,HIGH,,https://www.luminafoundation.org/,Cold,Strong MSI focus; completion agenda
FN008,Bill & Melinda Gates Foundation,Postsecondary Success,Foundation,,100000,5000000,Varies,By invitation,No,IHEs and education organizations,Student completion and success,Student Success,MEDIUM-HIGH,,https://www.gatesfoundation.org/,Cold,Large but competitive; significant HBCU history
FN009,United Negro College Fund,Various HBCU Programs,Foundation,,50000,1000000,Varies,Member access,No,UNCF member institutions,"Career pathways, STEM, faculty development, capacity",Institutional Capacity,HIGHEST,,https://uncf.org/,Engaged,Wiley is UNCF member; access member benefits
FN010,Fund II Foundation,HBCU Programs,Foundation,,100000,1000000,Varies,By invitation,No,HBCUs,"HBCU support, Black wealth building",Institutional Capacity,MEDIUM-HIGH,,N/A,Cold,Robert F. Smith foundation; active HBCU supporter
FN011,Bloomberg Philanthropies,Greenwood Initiative,Foundation,,500000,5000000,Varies,RFP/Invitation,No,HBCUs,"Education, environment, public health",Institutional Capacity,HIGH,,https://www.bloomberg.org/,Cold,$100M HBCU commitment announced
FN012,ECMC Foundation,Postsecondary Programs,Foundation,,50000,500000,Varies,Online,No,IHEs and education nonprofits,"Postsecondary education, career readiness",Student Success,HIGH,,https://www.ecmcfoundation.org/,Cold,Strong focus on completion and career outcomes
FN013,Ascendium Education Group,Education Grants,Foundation,,50000,500000,Varies,Online,No,IHEs serving low-income students,Postsecondary education for low-income students,Student Success,HIGH,,https://www.ascendiumphilanthropy.org/,Cold,Formerly Great Lakes Higher Education
FN014,Strada Education Network,Career Pathways,Foundation,,100000,1000000,Varies,By invitation,No,IHEs and workforce organizations,Education-employment pathways,Student Success,HIGH,,https://www.stradaeducation.org/,Cold,Workforce alignment focus
FN015,Council of Independent Colleges,Various Programs,Foundation,,5000,50000,Varies,Member,No,CIC member institutions,"Faculty development, consortium grants",Institutional Capacity,HIGH,,https://www.cic.edu/,Cold,Member benefits available
FN016,Jack Kent Cooke Foundation,Scholarships,Foundation,,5000,50000,Varies,Online,No,"IHEs, high-achieving low-income students","Transfer scholarships, graduate scholarships",Student Success,MEDIUM-HIGH,,https://www.jkcf.org/,Cold,Student scholarship focus
FC001,Google.org,CS Education Grants,Corporate,,50000,1000000,Varies,Rolling,No,Educational institutions,Computer science education and digital skills,STEM Education,HIGH,,https://www.google.org/,Cold,Strong CS/IT program alignment
FC002,Microsoft Philanthropies,TEALS Program,Corporate,,25000,500000,Varies,Rolling,No,Educational institutions,"Digital skills, STEM education",STEM Education,HIGH,,https://www.microsoft.com/en-us/philanthropies,Cold,Computer science education focus
FC003,Apple Community Investment,Education Grants,Corporate,,50000,250000,Varies,Rolling,No,Educational institutions,"STEM education, coding, creativity",STEM Education,MEDIUM-HIGH,,https://www.apple.com/,Cold,Community education initiatives
FC004,Dell Technologies Giving,Education Grants,Corporate,,25000,250000,Varies,Rolling,No,Texas educational institutions,"Education, technology access",STEM Education,HIGH,,https://www.delltechnologies.com/,Cold,Texas-based company
FC005,Cisco Foundation,Networking Academy,Corporate,,50000,500000,Varies,Rolling,No,Educational institutions,"Technology education, workforce development",STEM Education,MEDIUM-HIGH,,https://www.cisco.com/c/en/us/about/csr.html,Cold,Networking Academy partnership opportunity
FC006,Bank of America Foundation,Workforce Development,Corporate,,25000,500000,Varies,Rolling,No,"Nonprofits, IHEs","Workforce development, education",Student Success,HIGH,,https://about.bankofamerica.com/en/making-an-impact/charitable-foundation-funding,Cold,Significant HBCU partnership history
FC007,Wells Fargo Foundation,Education Grants,Corporate,,25000,1000000,Varies,Rolling,No,"Nonprofits, IHEs","Financial education, housing, small business",Student Success,HIGH,,https://www.wellsfargo.com/about/corporate-responsibility/community-giving/,Cold,HBCU scholarship and capacity programs
FC008,JPMorgan Chase Foundation,Workforce Readiness,Corporate,,100000,1000000,Varies,Rolling,No,"Nonprofits, IHEs","Workforce readiness, financial capability",Student Success,HIGH,,https://www.jpmorganchase.com/impact/our-approach/global-philanthropy,Cold,Significant HBCU commitments
FC009,Capital One Foundation,Financial Literacy,Corporate,,25000,250000,Varies,Rolling,No,"Nonprofits, IHEs","Financial literacy, workforce development",Student Success,MEDIUM-HIGH,,https://www.capitalone.com/about/corporate-citizenship/,Cold,Dallas/Texas presence
FC010,ExxonMobil Foundation,STEM Education,Corporate,,50000,1000000,Varies,Rolling,No,Educational institutions,"STEM education, women in STEM",STEM Education,HIGHEST,,https://corporate.exxonmobil.com/community-engagement,Cold,Texas-based (Houston); strong STEM alignment
FC011,Chevron Corporation,STEM Grants,Corporate,,50000,500000,Varies,Rolling,No,Educational institutions,"STEM education, workforce development",STEM Education,HIGH,,https://www.chevron.com/sustainability/social,Cold,Energy sector STEM focus
FC012,ConocoPhillips,Education Grants,Corporate,,25000,250000,Varies,Rolling,No,Educational institutions,"STEM, environmental education",STEM Education,MEDIUM-HIGH,,https://www.conocophillips.com/sustainability/,Cold,Houston-based energy company
FC013,Halliburton Foundation,Engineering Education,Corporate,,10000,100000,Varies,Rolling,No,Educational institutions,"Engineering, STEM education",STEM Education,MEDIUM-HIGH,,https://www.halliburton.com/,Cold,Houston-based; engineering focus
FC014,Southwestern Energy,Community Grants,Corporate,,10000,100000,Varies,Rolling,No,East Texas communities,"Education, community development",Institutional Capacity,HIGH,,https://www.swn.com/,Cold,East Texas operations near Marshall
FC015,CHRISTUS Health Foundation,Health Professions,Corporate,,10000,100000,Varies,Rolling,No,East Texas institutions,"Health professions, community health",Community Health,HIGH,,https://www.christushealth.org/,Cold,Local healthcare partner in East Texas
FC016,Blue Cross Blue Shield of Texas,Health Education,Corporate,,25000,250000,Varies,Rolling,No,Texas institutions,"Health, education, community",Community Health,HIGH,,https://www.bcbstx.com/company-info/community-investment,Cold,Texas health focus
FC017,Walmart Foundation,Workforce Development,Corporate,,25000,500000,Varies,Rolling,No,"Nonprofits, IHEs","Workforce development, opportunity",Student Success,HIGH,,https://walmart.org/,Cold,HBCU-specific initiatives available
FC018,Target Foundation,Education Equity,Corporate,,25000,200000,Varies,Rolling,No,"Nonprofits, IHEs",Education equity initiatives,Student Success,MEDIUM-HIGH,,https://corporate.target.com/sustainability-governance/community-engagement,Cold,Education equity focus
FC019,Home Depot Foundation,Skilled Trades,Corporate,,25000,500000,Varies,Rolling,No,"Nonprofits, IHEs","Veteran programs, skilled trades",Student Success,MEDIUM,,https://corporate.homedepot.com/foundation,Cold,Workforce/trades alignment
FT001,Meadows Foundation,Education Grants,Foundation (TX),,25000,500000,Varies,Online,Varies,Texas nonprofits and institutions,"Education, arts, civic, health",Institutional Capacity,HIGHEST,,https://www.mfi.org/,Cold,Major Texas education funder
FT002,Sid W. Richardson Foundation,Education/Health,Foundation (TX),,10000,250000,Varies,LOI,Varies,Texas organizations,"Education, health, human services",Institutional Capacity,HIGH,,https://www.sidrichardson.org/,Cold,Texas-only focus
FT003,T.L.L. Temple Foundation,East Texas Grants,Foundation (TX),,10000,500000,Varies,LOI,Varies,East Texas organizations,"Education, health, human services",Institutional Capacity,HIGHEST,,https://www.tlltemplefoundation.org/,Cold,East Texas priority - near Marshall
FT004,Ewing Halsell Foundation,Education Grants,Foundation (TX),,25000,250000,Varies,LOI,Varies,Texas organizations,"Education, human welfare",Institutional Capacity,HIGH,,N/A,Cold,Texas education focus
FT005,Communities Foundation of Texas,Community Grants,Foundation (TX),,10000,100000,Varies,Online,Varies,North Texas organizations,"Education, community development",Institutional Capacity,MEDIUM-HIGH,,https://www.cftexas.org/,Cold,Dallas-area community foundation
FT006,East Texas Communities Foundation,Local Grants,Foundation (TX),,1000,25000,1,Online,No,East Texas organizations,Community grants in East Texas region,Institutional Capacity,HIGH,,https://www.etcf.org/,Cold,Includes Harrison County - local funder
FT007,Harrison County Community Foundation,Local Grants,Foundation (TX),,1000,10000,1,Varies,No,Harrison County organizations,Local community support,Institutional Capacity,MEDIUM,,N/A,Cold,Small but hyperlocal to Marshall
FT008,George and Fay Young Foundation,Education,Foundation (TX),,5000,50000,Varies,Varies,No,Texas educational institutions,Education in Texas,Institutional Capacity,MEDIUM-HIGH,,N/A,Cold,Texas education support
FT009,Tocker Foundation,Library Grants,Foundation (TX),,3000,20000,1,Rolling,No,Rural Texas libraries,Libraries in rural Texas communities under 12000,Institutional Capacity,MEDIUM,,https://tocker.org/,Cold,Library enhancement opportunity
FR001,GBHEM United Methodist,Ethnic Minority Scholarships,Religious,,5000,100000,Varies,Varies,No,UMC-affiliated institutions,"Scholarships, faculty development",Institutional Capacity,HIGHEST,,https://www.gbhem.org/,Engaged,Wiley's denominational connection
FR002,United Methodist Foundation of Louisiana,UMC Grants,Religious,,5000,50000,Varies,Varies,No,UMC-affiliated institutions,Support for UMC institutions,Institutional Capacity,HIGH,,N/A,Cold,Adjacent conference; geographic proximity
FR003,North Texas Conference Foundation,Conference Grants,Religious,,5000,25000,Varies,Varies,No,North Texas Conference institutions,Support for conference institutions,Institutional Capacity,HIGHEST,,N/A,Warm,Wiley's home conference
ST001,Texas Higher Education Coordinating Board,TEOG,State,,Varies,Varies,Annual,Annual,No,Texas public and private IHEs,State student financial aid,Student Success,HIGH,,https://www.highered.texas.gov/,Engaged,Institutional allocation program
ST002,Texas Higher Education Coordinating Board,Work-Study,State,,Varies,Varies,Annual,Annual,No,Texas IHEs,State-funded student employment,Student Success,MEDIUM,,https://www.highered.texas.gov/,Engaged,State work-study allocation
ST003,Texas Workforce Commission,Skills Development Fund,State,,50000,500000,Varies,Quarterly,No,Texas IHEs with business partners,Training for new and existing workers,Student Success,HIGH,,https://www.twc.texas.gov/programs/skills-development-fund,Cold,Requires business/industry partner
ST004,Texas Workforce Commission,Apprenticeship Program,State,,25000,100000,Varies,Rolling,No,Registered apprenticeship sponsors,Support registered apprenticeships,Student Success,MEDIUM,,https://www.twc.texas.gov/,Cold,Emerging workforce opportunity
ST005,Ark-Tex Council of Governments,Regional Programs,Regional,,10000,50000,Varies,Varies,No,Northeast Texas organizations,"Workforce, economic development",Student Success,MEDIUM,,https://www.atcog.org/,Cold,Regional planning body for Harrison County
